ensembl_id,gene_id,Description
ENSRNOG00000028624,Kif26b,kinesin family member 26B
ENSRNOG00000028627,Hmcn1,hemicentin 1
ENSRNOG00000028628,LOC100911196,zinc finger protein 865-like
ENSRNOG00000028629,Akt1,AKT serine/threonine kinase 1
ENSRNOG00000028630,Ksr2,kinase suppressor of ras 2
ENSRNOG00000028636,Xkr5,XK related 5
ENSRNOG00000028638,Il10rb,interleukin 10 receptor subunit beta
ENSRNOG00000028640,Siva1,"SIVA1, apoptosis-inducing factor"
ENSRNOG00000028641,Brpf3,"bromodomain and PHD finger containing, 3"
ENSRNOG00000028648,Olig1,oligodendrocyte transcription factor 1
ENSRNOG00000028649,Tox3,TOX high mobility group box family member 3
ENSRNOG00000028650,Inf2,"inverted formin, FH2 and WH2 domain containing"
ENSRNOG00000028651,RGD1566386,similar to Hypothetical protein A430033K04
ENSRNOG00000028652,Map10,microtubule-associated protein 10
ENSRNOG00000028658,Olig2,oligodendrocyte transcription factor 2
ENSRNOG00000028659,Szt2,SZT2 subunit of KICSTOR complex
ENSRNOG00000028662,AABR07049821.2,
ENSRNOG00000028668,Slc28a2,solute carrier family 28 member 2
ENSRNOG00000028670,RGD1562726,similar to Putative protein C21orf62 homolog
ENSRNOG00000028674,Fbxw5,F-box and WD repeat domain containing 5
ENSRNOG00000028677,LOC361346,similar to chromosome 18 open reading frame 54
ENSRNOG00000028685,Shf,Src homology 2 domain containing F
ENSRNOG00000028688,Ctns,"cystinosin, lysosomal cystine transporter"
ENSRNOG00000028690,LOC100362366,40S ribosomal protein S17-like
ENSRNOG00000028699,Sco1,SCO cytochrome c oxidase assembly protein 1
ENSRNOG00000028701,C8g,complement C8 gamma chain
ENSRNOG00000028703,Slc39a6,solute carrier family 39 member 6
ENSRNOG00000028708,Ntsr1,neurotensin receptor 1
ENSRNOG00000028711,Dgat1,diacylglycerol O-acyltransferase 1
ENSRNOG00000028713,Acvrl1,activin A receptor like type 1
ENSRNOG00000028717,Ndufb7,NADH:ubiquinone oxidoreductase subunit B7
ENSRNOG00000028733,Prkar1b,protein kinase cAMP-dependent type I regulatory subunit beta
ENSRNOG00000028743,Gal3st3,galactose-3-O-sulfotransferase 3
ENSRNOG00000028746,Gsto1,glutathione S-transferase omega 1
ENSRNOG00000028749,Atxn7l2,ataxin 7-like 2
ENSRNOG00000028751,Nxf3,nuclear RNA export factor 3
ENSRNOG00000028752,Tmem81,transmembrane protein 81
ENSRNOG00000028753,B9d2,B9 domain containing 2
ENSRNOG00000028781,Abcc6,ATP binding cassette subfamily C member 6
ENSRNOG00000028782,RGD1565498,similar to Hypothetical protein LOC270802
ENSRNOG00000028783,Wdr35,WD repeat domain 35
ENSRNOG00000028814,Oasl2,2'-5' oligoadenylate synthetase-like 2
ENSRNOG00000028822,Bex3,brain expressed X-linked 3
ENSRNOG00000028832,Sorcs3,sortilin-related VPS10 domain containing receptor 3
ENSRNOG00000028834,Polr2a,RNA polymerase II subunit A
ENSRNOG00000028837,AC128207.1,
ENSRNOG00000028844,Slc9a5,solute carrier family 9 member A5
ENSRNOG00000028845,Ebf1,EBF transcription factor 1
ENSRNOG00000028856,Pknox2,PBX/knotted 1 homeobox 2
ENSRNOG00000028872,Rai14,retinoic acid induced 14
ENSRNOG00000028879,Slc4a8,solute carrier family 4 member 8
ENSRNOG00000028884,Atp5mg,ATP synthase membrane subunit g
ENSRNOG00000028891,Cyp2t1,"cytochrome P450, family 2, subfamily t, polypeptide 1"
ENSRNOG00000028892,Prr36,proline rich 36
ENSRNOG00000028895,Rtp4,receptor (chemosensory) transporter protein 4
ENSRNOG00000028896,A2m,alpha-2-macroglobulin
ENSRNOG00000028899,LOC100910807,transcriptional regulator Kaiso-like
ENSRNOG00000028904,Vps9d1,VPS9 domain containing 1
ENSRNOG00000028908,Eppin,epididymal peptidase inhibitor
ENSRNOG00000028910,Ccdc9b,coiled-coil domain containing 9B
ENSRNOG00000028919,Zfp868,zinc finger protein 868
ENSRNOG00000028930,Dab2,DAB adaptor protein 2
ENSRNOG00000028941,Zbed3,"zinc finger, BED-type containing 3"
ENSRNOG00000028946,Cdc42ep4,CDC42 effector protein 4
ENSRNOG00000028956,Mbd3,methyl-CpG binding domain protein 3
ENSRNOG00000028991,AC125757.1,
ENSRNOG00000028992,Acan,aggrecan
ENSRNOG00000028993,LOC102555453,60S ribosomal protein L12-like
ENSRNOG00000028996,Krt1,keratin 1
ENSRNOG00000029012,Shisa6,shisa family member 6
ENSRNOG00000029022,Zfp112,zinc finger protein 112
ENSRNOG00000029028,Mknk2,MAPK interacting serine/threonine kinase 2
ENSRNOG00000029029,LOC103690070,coxsackievirus and adenovirus receptor-like
ENSRNOG00000029038,Gemin8,gem (nuclear organelle) associated protein 8
ENSRNOG00000029042,Mt-nd6,mitochondrially encoded NADH dehydrogenase 6
ENSRNOG00000029043,Zfp84,zinc finger protein 84
ENSRNOG00000029047,Cubn,cubilin
ENSRNOG00000029049,Zdhhc14,"zinc finger, DHHC-type containing 14"
ENSRNOG00000029055,Ttk,Ttk protein kinase
ENSRNOG00000029061,Hirip3,HIRA interacting protein 3
ENSRNOG00000029064,Zcchc4,zinc finger CCHC-type containing 4
ENSRNOG00000029068,Wdr44,WD repeat domain 44
ENSRNOG00000029071,Unc5c,unc-5 netrin receptor C
ENSRNOG00000029077,Dpm3,"dolichyl-phosphate mannosyltransferase subunit 3, regulatory"
ENSRNOG00000029078,Hmgn5b,high mobility group nucleosome binding domain 5B
ENSRNOG00000029087,Nap1l3,nucleosome assembly protein 1-like 3
ENSRNOG00000029095,Trabd,TraB domain containing
ENSRNOG00000029127,Parp16,"poly (ADP-ribose) polymerase family, member 16"
ENSRNOG00000029131,AABR07024637.1,
ENSRNOG00000029134,Adgrl1,adhesion G protein-coupled receptor L1
ENSRNOG00000029146,RGD1308430,similar to 1700123O20Rik protein
ENSRNOG00000029147,Rbm11,RNA binding motif protein 11
ENSRNOG00000029148,Pdgfd,platelet derived growth factor D
ENSRNOG00000029152,Tmem69,transmembrane protein 69
ENSRNOG00000029165,Stx1a,syntaxin 1A
ENSRNOG00000029178,Abcc5,ATP binding cassette subfamily C member 5
ENSRNOG00000029184,AABR07033882.1,
ENSRNOG00000029185,Rasa1,RAS p21 protein activator 1
ENSRNOG00000029191,LOC685067,"similar to guanylate binding protein family, member 6"
ENSRNOG00000029194,Dhx30,DExH-box helicase 30
ENSRNOG00000029195,Uba7,ubiquitin-like modifier activating enzyme 7
ENSRNOG00000029197,Diablo,"diablo, IAP-binding mitochondrial protein"
ENSRNOG00000029205,Zfp354c,zinc finger protein 354C
ENSRNOG00000029209,Rnf13,ring finger protein 13
ENSRNOG00000029212,Vcan,versican
ENSRNOG00000029220,Zmym5,zinc finger MYM-type containing 5
ENSRNOG00000029235,Sfmbt2,Scm-like with four mbt domains 2
ENSRNOG00000029238,Hgh1,HGH1 homolog
ENSRNOG00000029242,Plekho2,pleckstrin homology domain containing O2
ENSRNOG00000029244,Pcdhb10,protocadherin beta 10
ENSRNOG00000029260,Pitpnm2,"phosphatidylinositol transfer protein, membrane-associated 2"
ENSRNOG00000029264,Kcnn1,potassium calcium-activated channel subfamily N member 1
ENSRNOG00000029273,E2f3,E2F transcription factor 3
ENSRNOG00000029280,Gpaa1,glycosylphosphatidylinositol anchor attachment 1
ENSRNOG00000029304,Aggf1,angiogenic factor with G patch and FHA domains 1
ENSRNOG00000029308,Lrmp,lymphoid-restricted membrane protein
ENSRNOG00000029316,Gtf2f2,general transcription factor IIF subunit 2
ENSRNOG00000029321,Ccser1,coiled-coil serine-rich protein 1
ENSRNOG00000029330,Ca5b,carbonic anhydrase 5B
ENSRNOG00000029333,Echdc2,enoyl CoA hydratase domain containing 2
ENSRNOG00000029336,Zfp180,zinc finger protein 180
ENSRNOG00000029342,Scn7a,sodium voltage-gated channel alpha subunit 7
ENSRNOG00000029360,Serinc1,serine incorporator 1
ENSRNOG00000029366,Prrt2,proline-rich transmembrane protein 2
ENSRNOG00000029370,Abhd3,abhydrolase domain containing 3
ENSRNOG00000029386,RT1-N2,"RT1 class Ib, locus N2"
ENSRNOG00000029394,Dusp8,dual specificity phosphatase 8
ENSRNOG00000029399,Bcam,basal cell adhesion molecule (Lutheran blood group)
ENSRNOG00000029415,RGD1565784,RGD1565784
ENSRNOG00000029416,AC109942.1,
ENSRNOG00000029427,Grhl3,grainyhead-like transcription factor 3
ENSRNOG00000029441,Klhl2,kelch-like family member 2
ENSRNOG00000029447,Epc2,enhancer of polycomb homolog 2
ENSRNOG00000029449,Ror1,receptor tyrosine kinase-like orphan receptor 1
ENSRNOG00000029450,AABR07058422.1,
ENSRNOG00000029456,Rp9,"RP9, pre-mRNA splicing factor"
ENSRNOG00000029465,Slc26a10,"solute carrier family 26, member 10"
ENSRNOG00000029466,RGD1562608,similar to KIAA1328 protein
ENSRNOG00000029470,LOC685619,similar to TP53-regulating kinase (p53-related protein kinase) (Nori-2)
ENSRNOG00000029490,Znf768,zinc finger protein 768
ENSRNOG00000029500,Tapbp,TAP binding protein
ENSRNOG00000029501,Hoga1,4-hydroxy-2-oxoglutarate aldolase 1
ENSRNOG00000029510,Plxnb1,plexin B1
ENSRNOG00000029528,Cbs,cystathionine beta synthase
ENSRNOG00000029529,Eef1akmt4,EEF1A lysine methyltransferase 4
ENSRNOG00000029535,Nrbp2,nuclear receptor binding protein 2
ENSRNOG00000029543,Cish,cytokine inducible SH2-containing protein
ENSRNOG00000029549,Eci3,enoyl-Coenzyme A delta isomerase 3
ENSRNOG00000029556,LOC304725,similar to contactin associated protein-like 5 isoform 1
ENSRNOG00000029567,Cxadrl1,coxsackie virus and adenovirus receptor-like 1
ENSRNOG00000029570,Fam222b,"family with sequence similarity 222, member B"
ENSRNOG00000029571,Coq10a,coenzyme Q10A
ENSRNOG00000029572,Apeh,acylaminoacyl-peptide hydrolase
ENSRNOG00000029574,Rps4x,"ribosomal protein S4, X-linked"
ENSRNOG00000029582,Lrch2,leucine rich repeats and calponin homology domain containing 2
ENSRNOG00000029592,Srsf11,serine and arginine rich splicing factor 11
ENSRNOG00000029598,Robo2,roundabout guidance receptor 2
ENSRNOG00000029608,Nkain2,sodium/potassium transporting ATPase interacting 2
ENSRNOG00000029614,Robo1,roundabout guidance receptor 1
ENSRNOG00000029627,LOC100359951,ribosomal protein S20-like
ENSRNOG00000029644,Clec2l,"C-type lectin domain family 2, member L"
ENSRNOG00000029651,LOC100365958,Rdh2 protein-like
ENSRNOG00000029658,Rnf213,ring finger protein 213
ENSRNOG00000029662,Wdfy4,WDFY family member 4
ENSRNOG00000029663,Il1rapl1,interleukin 1 receptor accessory protein-like 1
ENSRNOG00000029667,Tbce,tubulin folding cofactor E
ENSRNOG00000029670,RGD1564606,similar to 60S ribosomal protein L23a
ENSRNOG00000029678,Znf354b,zinc finger protein 354B
ENSRNOG00000029686,LOC102555727,quinone oxidoreductase-like protein 1-like
ENSRNOG00000029698,Pim3,"Pim-3 proto-oncogene, serine/threonine kinase"
ENSRNOG00000029707,Mt-nd4,mitochondrially encoded NADH dehydrogenase 4
ENSRNOG00000029735,Pid1,phosphotyrosine interaction domain containing 1
ENSRNOG00000029738,Diras1,DIRAS family GTPase 1
ENSRNOG00000029756,P2ry13,purinergic receptor P2Y13
ENSRNOG00000029773,Atm,ATM serine/threonine kinase
ENSRNOG00000029778,Maob,monoamine oxidase B
ENSRNOG00000029784,Pak1,p21 (RAC1) activated kinase 1
ENSRNOG00000029785,Cdc26,cell division cycle 26
ENSRNOG00000029792,NEWGENE_1308171,osteoglycin
ENSRNOG00000029798,Lrrc4c,leucine rich repeat containing 4C
ENSRNOG00000029799,Tomm34,translocase of outer mitochondrial membrane 34
ENSRNOG00000029805,AABR07002774.2,zinc finger protein 780B
ENSRNOG00000029810,LOC100911766,tetraspanin-4-like
ENSRNOG00000029811,Kcne2,potassium voltage-gated channel subfamily E regulatory subunit 2
ENSRNOG00000029813,AABR07035218.1,
ENSRNOG00000029814,Prtn3,proteinase 3
ENSRNOG00000029826,Cep164,centrosomal protein 164
ENSRNOG00000029837,AABR07056636.1,
ENSRNOG00000029841,Cdh19,cadherin 19
ENSRNOG00000029855,Letmd1,LETM1 domain containing 1
ENSRNOG00000029866,Dennd6b,DENN domain containing 6B
ENSRNOG00000029871,Slc8a3,solute carrier family 8 member A3
ENSRNOG00000029875,Mrpl41,mitochondrial ribosomal protein L41
ENSRNOG00000029876,Gucy1a2,guanylate cyclase 1 soluble subunit alpha 2
ENSRNOG00000029885,Stag2,stromal antigen 2
ENSRNOG00000029886,Hba-a1,"hemoglobin alpha, adult chain 1"
ENSRNOG00000029893,Rwdd3,RWD domain containing 3
ENSRNOG00000029903,Spock3,"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3"
ENSRNOG00000029910,Golga4,golgin A4
ENSRNOG00000029911,Cilp,cartilage intermediate layer protein
ENSRNOG00000029912,Septin5,septin 5
ENSRNOG00000029922,Tpk1,thiamin pyrophosphokinase 1
ENSRNOG00000029938,Pik3c2b,"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta"
ENSRNOG00000029941,Grina,glutamate ionotropic receptor NMDA type subunit associated protein 1
ENSRNOG00000029956,AABR07033023.1,
ENSRNOG00000029966,Xrcc4,X-ray repair cross complementing 4
ENSRNOG00000029971,Mt-nd5,mitochondrially encoded NADH dehydrogenase 5
ENSRNOG00000029980,Zbtb16,zinc finger and BTB domain containing 16
ENSRNOG00000029986,Insr,insulin receptor
ENSRNOG00000029995,Herpud2,HERPUD family member 2
ENSRNOG00000029996,AABR07054368.1,
ENSRNOG00000030016,Robo3,roundabout guidance receptor 3
ENSRNOG00000030017,Ercc6,"ERCC excision repair 6, chromatin remodeling factor"
ENSRNOG00000030019,Atp1a1,ATPase Na+/K+ transporting subunit alpha 1
ENSRNOG00000030022,Myo3b,myosin IIIB
ENSRNOG00000030027,Fbxw17,F-box and WD-40 domain protein 17
ENSRNOG00000030034,Sox11,SRY-box transcription factor 11
ENSRNOG00000030049,Znhit6,"zinc finger, HIT-type containing 6"
ENSRNOG00000030055,Vamp3,vesicle-associated membrane protein 3
ENSRNOG00000030058,LOC100359600,karyopherin alpha 2-like
ENSRNOG00000030091,Dusp14,dual specificity phosphatase 14
ENSRNOG00000030101,Traip,TRAF-interacting protein
ENSRNOG00000030102,Mboat4,membrane bound O-acyltransferase domain containing 4
ENSRNOG00000030109,Kpna5,karyopherin subunit alpha 5
ENSRNOG00000030111,Cyp11b3,"cytochrome P450, family 11, subfamily b, polypeptide 3"
ENSRNOG00000030118,Msn,moesin
ENSRNOG00000030120,Ormdl2,ORMDL sphingolipid biosynthesis regulator 2
ENSRNOG00000030124,Ptpn11,"protein tyrosine phosphatase, non-receptor type 11"
ENSRNOG00000030126,Clk3,CDC-like kinase 3
ENSRNOG00000030127,Eml2,EMAP like 2
ENSRNOG00000030131,AABR07031494.1,
ENSRNOG00000030149,Adgrl3,adhesion G protein-coupled receptor L3
ENSRNOG00000030151,Thsd7a,thrombospondin type 1 domain containing 7A
ENSRNOG00000030155,Bmp8a,bone morphogenetic protein 8a
ENSRNOG00000030157,Dhx16,DEAH-box helicase 16
ENSRNOG00000030160,Zfp819,zinc finger protein 819
ENSRNOG00000030170,Krt10,keratin 10
ENSRNOG00000030180,Lrrc10b,leucine rich repeat containing 10B
ENSRNOG00000030183,Plod2,"procollagen lysine, 2-oxoglutarate 5-dioxygenase 2"
ENSRNOG00000030199,Tmem192,transmembrane protein 192
ENSRNOG00000030210,Fndc1,fibronectin type III domain containing 1
ENSRNOG00000030213,Vps13c,vacuolar protein sorting 13 homolog C
ENSRNOG00000030216,Abcg3l1,"ATP-binding cassette, subfamily G (WHITE), member 3-like 1"
ENSRNOG00000030225,Clpx,caseinolytic mitochondrial matrix peptidase chaperone subunit
ENSRNOG00000030232,Hacd3,3-hydroxyacyl-CoA dehydratase 3
ENSRNOG00000030237,Cox7c,cytochrome c oxidase subunit 7C
ENSRNOG00000030238,Fndc5,fibronectin type III domain containing 5
ENSRNOG00000030243,AABR07051892.1,
ENSRNOG00000030245,Tango2,transport and golgi organization 2 homolog
ENSRNOG00000030246,Btla,B and T lymphocyte associated
ENSRNOG00000030247,Eif4ebp3,eukaryotic translation initiation factor 4E binding protein 3
ENSRNOG00000030264,Fam83h,"family with sequence similarity 83, member H"
ENSRNOG00000030266,Plekhg2,pleckstrin homology and RhoGEF domain containing G2
ENSRNOG00000030269,Atp2b2,ATPase plasma membrane Ca2+ transporting 2
ENSRNOG00000030273,Zfp563,zinc finger protein 563
ENSRNOG00000030285,Epha3,Eph receptor A3
ENSRNOG00000030291,AC095947.1,
ENSRNOG00000030294,Eml4,EMAP like 4
ENSRNOG00000030308,Zfp251,zinc finger protein 251
ENSRNOG00000030314,Golgb1,golgin B1
ENSRNOG00000030318,Gpr83,G protein-coupled receptor 83
ENSRNOG00000030319,Morn2,MORN repeat containing 2
ENSRNOG00000030328,Fam98a,"family with sequence similarity 98, member A"
ENSRNOG00000030330,AABR07040095.1,
ENSRNOG00000030334,Adck5,aarF domain containing kinase 5
ENSRNOG00000030351,AABR07006627.1,
ENSRNOG00000030352,Pcdhga9,"protocadherin gamma subfamily A, 9"
ENSRNOG00000030355,Mroh1,maestro heat-like repeat family member 1
ENSRNOG00000030371,Mt-co2,mitochondrially encoded cytochrome c oxidase II
ENSRNOG00000030374,LOC100360750,Sm protein F-like
ENSRNOG00000030391,Ei24,"EI24, autophagy associated transmembrane protein"
ENSRNOG00000030404,Arrb1,"arrestin, beta 1"
ENSRNOG00000030408,Dnajb12,DnaJ heat shock protein family (Hsp40) member B12
ENSRNOG00000030410,Zfp958,zinc finger protein 958
ENSRNOG00000030416,Zfp870,zinc finger protein 870
ENSRNOG00000030418,Tmem47,transmembrane protein 47
ENSRNOG00000030443,Rab9a,"RAB9A, member RAS oncogene family"
ENSRNOG00000030445,Ormdl3,ORMDL sphingolipid biosynthesis regulator 3
ENSRNOG00000030449,Gsta4,glutathione S-transferase alpha 4
ENSRNOG00000030452,Rimbp3,RIMS binding protein 3
ENSRNOG00000030463,Faim,Fas apoptotic inhibitory molecule
ENSRNOG00000030467,Ube2l6,ubiquitin-conjugating enzyme E2L 6
ENSRNOG00000030475,Pwwp3b,PWWP domain containing 3B
ENSRNOG00000030478,AY172581.9,
ENSRNOG00000030483,Rabggta,Rab geranylgeranyltransferase subunit alpha
ENSRNOG00000030515,Nfasc,neurofascin
ENSRNOG00000030517,Zfp879,zinc finger protein 879
ENSRNOG00000030520,Sarnp,SAP domain containing ribonucleoprotein
ENSRNOG00000030522,LOC500331,similar to osteoclast inhibitory lectin
ENSRNOG00000030530,Gzmm,granzyme M
ENSRNOG00000030537,Slc26a11,solute carrier family 26 member 11
ENSRNOG00000030547,Dpp6,dipeptidyl peptidase like 6
ENSRNOG00000030554,Olr34,olfactory receptor 34
ENSRNOG00000030568,Rgs12,regulator of G-protein signaling 12
ENSRNOG00000030572,Smc5,structural maintenance of chromosomes 5
ENSRNOG00000030579,AC126572.2,zinc finger protein 853
ENSRNOG00000030597,Ankrd52,ankyrin repeat domain 52
ENSRNOG00000030616,Slc25a45,"solute carrier family 25, member 45"
ENSRNOG00000030619,Foxr2,forkhead box R2
ENSRNOG00000030622,Enox2,ecto-NOX disulfide-thiol exchanger 2
ENSRNOG00000030625,Tf,transferrin
ENSRNOG00000030628,Eif4a1,eukaryotic translation initiation factor 4A1
ENSRNOG00000030629,Camkmt,calmodulin-lysine N-methyltransferase
ENSRNOG00000030630,Ehmt2,euchromatic histone lysine methyltransferase 2
ENSRNOG00000030633,Lmf2,lipase maturation factor 2
ENSRNOG00000030639,Usp13,ubiquitin specific peptidase 13
ENSRNOG00000030644,Mt-nd1,mitochondrially encoded NADH dehydrogenase 1
ENSRNOG00000030654,Man2c1,"mannosidase, alpha, class 2C, member 1"
ENSRNOG00000030667,Ppm1b,"protein phosphatase, Mg2+/Mn2+ dependent, 1B"
ENSRNOG00000030680,Ddx5,DEAD-box helicase 5
ENSRNOG00000030683,Vps26a,VPS26 retromer complex component A
ENSRNOG00000030688,Lrrc2,leucine rich repeat containing 2
ENSRNOG00000030689,Ms4a6bl,"membrane-spanning 4-domains, subfamily A, member 6B-like"
ENSRNOG00000030700,Mt-co3,mitochondrially encoded cytochrome c oxidase III
ENSRNOG00000030704,AC094053.1,
ENSRNOG00000030705,Cpsf1,cleavage and polyadenylation specific factor 1
ENSRNOG00000030712,RT1-A2,"RT1 class Ia, locus A2"
ENSRNOG00000030714,Bsn,bassoon (presynaptic cytomatrix protein)
ENSRNOG00000030715,Cfh,complement factor H
ENSRNOG00000030719,Csmd1,CUB and Sushi multiple domains 1
ENSRNOG00000030721,Fbrsl1,fibrosin-like 1
ENSRNOG00000030726,Asgr2,asialoglycoprotein receptor 2
ENSRNOG00000030747,LOC685963,similar to 60S ribosomal protein L38
ENSRNOG00000030750,Zfp2,zinc finger protein 2
ENSRNOG00000030759,Nhs,NHS actin remodeling regulator
ENSRNOG00000030771,Dgkb,"diacylglycerol kinase, beta"
ENSRNOG00000030775,Adarb2,"adenosine deaminase, RNA-specific, B2"
ENSRNOG00000030776,Sytl2,synaptotagmin-like 2
ENSRNOG00000030790,Ctnnd1,catenin delta 1
ENSRNOG00000030800,Igdcc3,"immunoglobulin superfamily, DCC subclass, member 3"
ENSRNOG00000030830,Mex3d,mex-3 RNA binding family member D
ENSRNOG00000030840,Cadm2,cell adhesion molecule 2
ENSRNOG00000030862,Atp6v1h,ATPase H+ transporting V1 subunit H
ENSRNOG00000030871,Calm2,calmodulin 2
ENSRNOG00000030877,Htr2c,5-hydroxytryptamine receptor 2C
ENSRNOG00000030880,Hs6st2,heparan sulfate 6-O-sulfotransferase 2
ENSRNOG00000030888,Rela,"RELA proto-oncogene, NF-kB subunit"
ENSRNOG00000030910,Grik4,glutamate ionotropic receptor kainate type subunit 4
ENSRNOG00000030920,Rtn4r,reticulon 4 receptor
ENSRNOG00000030927,Grid2ip,Grid2 interacting protein
ENSRNOG00000030932,Zfp14,ZFP14 zinc finger protein
ENSRNOG00000030954,Fat1,FAT atypical cadherin 1
ENSRNOG00000030963,LOC108351137,glyceraldehyde-3-phosphate dehydrogenase
ENSRNOG00000030983,B3galt5,"Beta-1,3-galactosyltransferase 5"
ENSRNOG00000031003,Zfp764,zinc finger protein 764
ENSRNOG00000031004,Cyp2j4,"cytochrome P450, family 2, subfamily j, polypeptide 4"
ENSRNOG00000031022,LOC108348287,60S ribosomal protein L36a
ENSRNOG00000031031,Zfp292,zinc finger protein 292
ENSRNOG00000031032,Hmgn3,high mobility group nucleosomal binding domain 3
ENSRNOG00000031033,Mt-nd2,mitochondrially encoded NADH dehydrogenase 2
ENSRNOG00000031038,Gtdc1,glycosyltransferase-like domain containing 1
ENSRNOG00000031041,Rps4y2,"ribosomal protein S4, Y-linked 2"
ENSRNOG00000031053,Mt-nd4l,mitochondrially encoded NADH 4L dehydrogenase
ENSRNOG00000031058,Was,WASP actin nucleation promoting factor
ENSRNOG00000031081,Stat2,signal transducer and activator of transcription 2
ENSRNOG00000031085,Ergic3,ERGIC and golgi 3
ENSRNOG00000031092,Rock1,Rho-associated coiled-coil containing protein kinase 1
ENSRNOG00000031097,Syce1l,synaptonemal complex central element protein 1-like
ENSRNOG00000031100,Klhl1,kelch-like family member 1
ENSRNOG00000031113,Zscan22,zinc finger and SCAN domain containing 22
ENSRNOG00000031126,Tecta,tectorin alpha
ENSRNOG00000031127,Snrpe,small nuclear ribonucleoprotein polypeptide E
ENSRNOG00000031129,Carm1,coactivator-associated arginine methyltransferase 1
ENSRNOG00000031135,Smarcc2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2"
ENSRNOG00000031136,Ntng1,netrin G1
ENSRNOG00000031138,Irgm,immunity-related GTPase M
ENSRNOG00000031163,Nfkbiz,NFKB inhibitor zeta
ENSRNOG00000031168,Arhgap15,Rho GTPase activating protein 15
ENSRNOG00000031171,Wdr46,WD repeat domain 46
ENSRNOG00000031173,Snd1,staphylococcal nuclease and tudor domain containing 1
ENSRNOG00000031174,Arnt,aryl hydrocarbon receptor nuclear translocator
ENSRNOG00000031178,LOC100362054,mCG114696-like
ENSRNOG00000031197,F8,coagulation factor VIII
ENSRNOG00000031202,Trim30c,tripartite motif-containing 30C
ENSRNOG00000031203,Scfd1,sec1 family domain containing 1
ENSRNOG00000031208,Mgat1,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
ENSRNOG00000031213,Slc39a11,"solute carrier family 39, member 11"
ENSRNOG00000031216,AABR07055776.1,
ENSRNOG00000031222,RGD1561327,"similar to melanoma antigen family A, 10"
ENSRNOG00000031232,Nrp2,neuropilin 2
ENSRNOG00000031233,Mapk12,mitogen-activated protein kinase 12
ENSRNOG00000031244,LOC108349606,60S ribosomal protein L7a-like
ENSRNOG00000031247,Lekr1,"leucine, glutamate and lysine rich 1"
ENSRNOG00000031266,Siae,sialic acid acetylesterase
ENSRNOG00000031269,RGD1304694,similar to CG9646-PA
ENSRNOG00000031286,Spin2a,"spindlin family, member 2A"
ENSRNOG00000031287,Cacna2d3,calcium voltage-gated channel auxiliary subunit alpha2delta 3
ENSRNOG00000031290,Trappc3l,trafficking protein particle complex 3-like
ENSRNOG00000031306,Zfp804b,zinc finger protein 804B
ENSRNOG00000031312,Tnfrsf1a,TNF receptor superfamily member 1A
ENSRNOG00000031325,Abi1,abl-interactor 1
ENSRNOG00000031328,Zfp110,zinc finger protein 110
ENSRNOG00000031335,Ankrd37,ankyrin repeat domain 37
ENSRNOG00000031346,Ift22,intraflagellar transport 22
ENSRNOG00000031364,Kif1c,kinesin family member 1C
ENSRNOG00000031367,Hprt1,hypoxanthine phosphoribosyltransferase 1
ENSRNOG00000031368,LOC499235,LRRGT00141
ENSRNOG00000031378,AABR07009715.1,
ENSRNOG00000031387,Dazap1,DAZ associated protein 1
ENSRNOG00000031397,Stk32b,serine/threonine kinase 32B
ENSRNOG00000031398,Mab21l2,mab-21 like 2
ENSRNOG00000031406,Hps3,"HPS3, biogenesis of lysosomal organelles complex 2 subunit 1"
ENSRNOG00000031408,AC097129.1,
ENSRNOG00000031420,Hyal2,hyaluronidase 2
ENSRNOG00000031421,Eif1a,eukaryotic translation initiation factor 1A
ENSRNOG00000031431,Cdca8,cell division cycle associated 8
ENSRNOG00000031440,Nova1,NOVA alternative splicing regulator 1
ENSRNOG00000031443,Havcr2,hepatitis A virus cellular receptor 2
ENSRNOG00000031448,Stpg1,sperm-tail PG-rich repeat containing 1
ENSRNOG00000031453,Manbal,mannosidase beta like
ENSRNOG00000031459,Zfp128,zinc finger protein 128
ENSRNOG00000031475,Col16a1,collagen type XVI alpha 1 chain
ENSRNOG00000031478,Zfp663,zinc finger protein 663
ENSRNOG00000031479,Hdlbp,high density lipoprotein binding protein
ENSRNOG00000031485,Dpp3,dipeptidylpeptidase 3
ENSRNOG00000031494,Armh1,armadillo-like helical domain containing 1
ENSRNOG00000031495,Tmem170b,transmembrane protein 170B
ENSRNOG00000031506,Ftl1,ferritin light chain 1
ENSRNOG00000031515,Klra2,"killer cell lectin-like receptor, subfamily A, member 2"
ENSRNOG00000031533,Dcaf12l2,DDB1 and CUL4 associated factor 12-like 2
ENSRNOG00000031536,Syndig1,synapse differentiation inducing 1
ENSRNOG00000031544,Larp1,"La ribonucleoprotein 1, translational regulator"
ENSRNOG00000031576,Zfp455,zinc finger protein 455
ENSRNOG00000031579,LOC100363469,ribosomal protein S24-like
ENSRNOG00000031591,AABR07032255.2,
ENSRNOG00000031599,Sh2d1b,SH2 domain containing 1B
ENSRNOG00000031612,Gls2,glutaminase 2
